[ 310.0, -6.0, 0.0 ]
[ 311.0, -6.0, 0.0 ]
[ 312.0, -6.0, 0.0 ]
[ 313.0, -7.0, 0.0 ]
[ 314.0, -7.0, 0.0 ]
[ 315.0, -7.0, 0.0 ]
[ 316.0, -7.0, 0.0 ]
[ 317.0, -8.0, 0.0 ]
[ 318.0, -8.0, 0.0 ]
[ 319.0, -8.0, 0.0 ]
[ 320.0, -8.0, 0.0 ]
[ 320.0, -9.0, 0.0 ]
[ 320.0, -7.0, 0.0 ]
[ 320.0, -6.0, 0.0 ]
[ 320.0, -5.0, 0.0 ]
[ 320.0, -4.0, 0.0 ]
[ 319.0, -3.0, 0.0 ]
[ 318.0, -3.0, 0.0 ]
[ 317.0, -3.0, 0.0 ]
[ 316.0, -2.0, 0.0 ]
[ 315.0, -2.0, 0.0 ]
[ 314.0, -2.0, 0.0 ]
[ 313.0, -1.0, 0.0 ]
[ 312.0, -1.0, 0.0 ]
[ 311.0, -1.0, 0.0 ]
[ 310.0, -1.0, 0.0 ]
[ 309.0, -1.0, 0.0 ]
[ 308.0, -1.0, 0.0 ]
[ 307.0, -1.0, 0.0 ]
[ 306.0, -1.0, 0.0 ]
[ 305.0, -1.0, 0.0 ]
[ 304.0, -1.0, 0.0 ]
[ 303.0, -1.0, 0.0 ]
[ 302.0, -1.0, 0.0 ]
[ 301.0, -1.0, 0.0 ]
[ 300.0, -1.0, 0.0 ]
[ 299.0, -1.0, 0.0 ]
[ 298.0, -1.0, 0.0 ]
[ 297.0, -1.0, 0.0 ]
[ 296.0, -1.0, 0.0 ]
[ 295.0, -2.0, 0.0 ]
[ 294.0, -2.0, 0.0 ]
[ 293.0, -2.0, 0.0 ]
[ 292.0, -3.0, 0.0 ]
[ 291.0, -3.0, 0.0 ]
[ 290.0, -4.0, 0.0 ]
[ 289.0, -5.0, 0.0 ]
[ 288.0, -5.0, 0.0 ]
[ 287.0, -6.0, 0.0 ]
[ 286.0, -7.0, 0.0 ]
[ 285.0, -8.0, 0.0 ]
[ 284.0, -9.0, 0.0 ]
[ 284.0, -10.0, 0.0 ]
[ 283.0, -11.0, 0.0 ]
[ 282.0, -12.0, 0.0 ]
[ 282.0, -13.0, 0.0 ]
[ 281.0, -14.0, 0.0 ]
[ 281.0, -15.0, 0.0 ]
[ 281.0, -16.0, 0.0 ]
[ 280.0, -17.0, 0.0 ]
[ 280.0, -18.0, 0.0 ]
[ 280.0, -19.0, 0.0 ]
[ 280.0, -20.0, 0.0 ]
[ 280.0, -21.0, 0.0 ]
[ 279.0, -22.0, 0.0 ]
[ 279.0, -23.0, 0.0 ]
[ 279.0, -24.0, 0.0 ]
[ 279.0, -25.0, 0.0 ]
[ 279.0, -26.0, 0.0 ]
[ 279.0, -27.0, 0.0 ]
[ 279.0, -28.0, 0.0 ]
[ 279.0, -29.0, 0.0 ]
[ 279.0, -30.0, 0.0 ]
[ 279.0, -31.0, 0.0 ]
[ 279.0, -32.0, 0.0 ]
[ 280.0, -33.0, 0.0 ]
[ 280.0, -34.0, 0.0 ]
[ 280.0, -35.0, 0.0 ]
[ 280.0, -36.0, 0.0 ]
[ 280.0, -37.0, 0.0 ]
[ 281.0, -38.0, 0.0 ]
[ 281.0, -39.0, 0.0 ]
[ 281.0, -40.0, 0.0 ]
[ 282.0, -41.0, 0.0 ]
[ 282.0, -42.0, 0.0 ]
[ 283.0, -43.0, 0.0 ]
[ 283.0, -44.0, 0.0 ]
[ 284.0, -45.0, 0.0 ]
[ 285.0, -46.0, 0.0 ]
[ 285.0, -47.0, 0.0 ]
[ 286.0, -48.0, 0.0 ]
[ 287.0, -49.0, 0.0 ]
[ 288.0, -49.0, 0.0 ]
[ 289.0, -50.0, 0.0 ]
[ 290.0, -51.0, 0.0 ]
[ 291.0, -51.0, 0.0 ]
[ 292.0, -52.0, 0.0 ]
[ 293.0, -52.0, 0.0 ]
[ 294.0, -53.0, 0.0 ]
[ 295.0, -53.0, 0.0 ]
[ 296.0, -53.0, 0.0 ]
[ 297.0, -54.0, 0.0 ]
[ 298.0, -54.0, 0.0 ]
[ 299.0, -54.0, 0.0 ]
[ 300.0, -54.0, 0.0 ]
[ 301.0, -54.0, 0.0 ]
[ 302.0, -54.0, 0.0 ]
[ 303.0, -54.0, 0.0 ]
[ 304.0, -54.0, 0.0 ]
[ 305.0, -54.0, 0.0 ]
[ 306.0, -54.0, 0.0 ]
[ 307.0, -53.0, 0.0 ]
[ 308.0, -53.0, 0.0 ]
[ 309.0, -53.0, 0.0 ]
[ 310.0, -52.0, 0.0 ]
[ 311.0, -52.0, 0.0 ]
[ 312.0, -52.0, 0.0 ]
[ 313.0, -51.0, 0.0 ]
[ 314.0, -50.0, 0.0 ]
[ 315.0, -50.0, 0.0 ]
[ 316.0, -49.0, 0.0 ]
[ 317.0, -48.0, 0.0 ]
[ 317.0, -47.0, 0.0 ]
[ 318.0, -46.0, 0.0 ]
[ 319.0, -45.0, 0.0 ]
[ 319.0, -44.0, 0.0 ]
[ 320.0, -43.0, 0.0 ]
[ 320.0, -42.0, 0.0 ]
[ 321.0, -41.0, 0.0 ]
[ 321.0, -40.0, 0.0 ]
[ 321.0, -39.0, 0.0 ]
[ 315.0, -39.0, 0.0 ]
[ 315.0, -40.0, 0.0 ]
[ 314.0, -41.0, 0.0 ]
[ 314.0, -42.0, 0.0 ]
[ 313.0, -43.0, 0.0 ]
[ 313.0, -44.0, 0.0 ]
[ 312.0, -45.0, 0.0 ]
[ 311.0, -46.0, 0.0 ]
[ 310.0, -47.0, 0.0 ]
[ 309.0, -47.0, 0.0 ]
